function,n,optimizer,mean_gap,best_gap,success_rate,mean_T_eps,mean_cosine_antigrad
ackley,2,adam,4.019769696785613,0.007733678592846349,0.0,nan,0.45110626706738544
ackley,2,adamw,3.8877775366091165,0.009144250517256314,0.0,nan,0.47929901906878436
ackley,2,bfgs,6.057934817653695,4.440892098500626e-16,0.2,11.0,0.915709811587611
ackley,2,gd,3.640341142659274,0.10949625897161086,0.0,nan,1.0
ackley,2,heavy_ball,6.361541063195626,0.218207670288312,0.0,nan,0.4980015227891171
ackley,2,nesterov,4.035002961890375,0.09215216052698638,0.0,nan,0.3472088788335801
ackley,5,adam,4.492884261597652,0.15470744611496956,0.0,nan,0.495540241837692
ackley,5,adamw,4.8564545869862945,0.11577874173262304,0.0,nan,0.48787376139630306
ackley,5,bfgs,6.979880801243866,2.3168487918475873,0.0,nan,0.8332357810038479
ackley,5,gd,3.9325182701189396,0.7207653660511686,0.0,nan,1.0
ackley,5,heavy_ball,6.984087458503903,0.40881886847626037,0.0,nan,0.6566028885382056
ackley,5,nesterov,7.800514179352507,0.972251522452233,0.0,nan,0.08724041343281
griewank,2,adam,0.016400063099414976,0.0074379171139418165,0.0,nan,0.3350756757725649
griewank,2,adamw,0.01599362533908103,0.0074430541669539,0.0,nan,0.3381402219374739
griewank,2,bfgs,0.014793066128921905,0.007396040334115006,0.0,nan,0.9696465736638091
griewank,2,gd,0.01479306612892195,0.007396040334114895,0.0,nan,0.9999999993561388
griewank,2,heavy_ball,0.017278304085272478,0.007553924769556741,0.0,nan,0.3118169662286625
griewank,2,nesterov,0.014793066128921928,0.007396040334115006,0.0,nan,0.5602994767113131
griewank,5,adam,0.04223304027933221,0.03293750085948899,0.0,nan,0.3633192792638599
griewank,5,adamw,0.041523618028350064,0.029012754729727086,0.0,nan,0.3806301431008291
griewank,5,bfgs,0.03966616705599796,0.01231607251926159,0.0,nan,0.8271890498757115
griewank,5,gd,0.13949826518907976,0.027108458653155365,0.0,nan,1.0
griewank,5,heavy_ball,0.051008519191171,0.031959141403555824,0.0,nan,0.4182424817763676
griewank,5,nesterov,0.041144575590897535,0.027098917496173325,0.0,nan,0.5088580872680085
rastrigin,2,adam,16.664626326201518,9.949986709190972,0.0,nan,0.4531452949814203
rastrigin,2,adamw,15.988100305943382,9.949842410773913,0.0,nan,0.4386310939591532
rastrigin,2,bfgs,17.013700737892737,4.974790247647379,0.0,nan,0.9272356753218981
rastrigin,2,gd,16.914209393597908,9.9495602985803,0.0,nan,0.999999999987281
rastrigin,2,heavy_ball,17.023486021184006,9.974466820545276,0.0,nan,0.40906319586163864
rastrigin,2,nesterov,16.914209393597908,9.9495602985803,0.0,nan,0.719831781781764
rastrigin,5,adam,39.48147717239388,24.972973689540332,0.0,nan,0.4734738664213133
rastrigin,5,adamw,38.30689796014251,25.009260303826473,0.0,nan,0.4788675747202052
rastrigin,5,bfgs,40.992076354322094,22.883952154295493,0.0,nan,0.8074432573931439
rastrigin,5,gd,41.48955335941538,26.863823921175488,0.0,nan,0.9999999999969168
rastrigin,5,heavy_ball,38.27876560875585,13.361588236885531,0.0,nan,0.6198776658319677
rastrigin,5,nesterov,41.48955335941538,26.86382392117548,0.0,nan,0.7579495366877449
rosenbrock,2,adam,1.101831453055294,0.008004416117395951,0.0,nan,0.2568029560294708
rosenbrock,2,adamw,1.0627109635457364,0.0031381122541245324,0.0,nan,0.2588218173414937
rosenbrock,2,bfgs,0.0,0.0,1.0,20.1,0.30252993691867724
rosenbrock,2,gd,1.120900977738557,0.00026726939294321084,0.1,5.0,1.0
rosenbrock,2,heavy_ball,1.7733630268683218,0.003941764859632497,0.0,nan,0.24991105943412703
rosenbrock,2,nesterov,1.5676554155577571,0.0037470220304967094,0.0,nan,0.391564384814277
rosenbrock,5,adam,4.887840812550303,1.101472600964907,0.0,nan,0.29654990592392777
rosenbrock,5,adamw,3.8717472643463173,0.679070248273005,0.0,nan,0.31056220099432363
rosenbrock,5,bfgs,1.1793445058298868,0.0,0.7,39.142857142857146,0.33954838568026285
rosenbrock,5,gd,5.37710194427415,1.7923018481946629,0.0,nan,1.0
rosenbrock,5,heavy_ball,4.808429657280598,0.8436656200499939,0.0,nan,0.2889764861621588
rosenbrock,5,nesterov,2.4857295195733924,0.1865887798086066,0.0,nan,0.4807231078029847
sphere,2,adam,0.04058222686613334,0.00013021637144102388,0.2,45.0,0.3498283982585062
sphere,2,adamw,0.025358053749478825,7.856665743447251e-05,0.2,28.5,0.29273620589037547
sphere,2,bfgs,0.0,0.0,1.0,2.8,1.0
sphere,2,gd,6.2713182438417005e-90,2.954391255451682e-90,1.0,3.0,1.0
sphere,2,heavy_ball,0.0007939802914416025,0.0003740407261805702,0.9,50.0,0.36
sphere,2,nesterov,1.5325310946156699e-32,7.21968857039968e-33,1.0,6.1,1.0
sphere,5,adam,0.05912840930282304,0.012761449001044254,0.0,nan,0.3246558358357902
sphere,5,adamw,0.03442321916241684,0.008990253546639695,0.0,nan,0.332814485527824
sphere,5,bfgs,0.0,0.0,1.0,3.0,1.0
sphere,5,gd,1.493086409498174e-89,1.1434219160877016e-89,1.0,3.0,1.0
sphere,5,heavy_ball,0.0018903221563105518,0.0014476293992375846,0.0,nan,0.36
sphere,5,nesterov,3.6486768180692827e-32,2.7941966465984767e-32,1.0,7.0,1.0
